author,handle,date,text,likes
Superteam Nigeria,@SuperteamNG,2025-03-24T19:40:08.000Z,"Solana is for DePIN!  Meet  @yutemanny , the co-founder of  @trykeyprotocol , a hardware kit that helps commercial auto businesses minimize employee theft from anywhere in the world, amongst many other exciting features.   #OnlyPossibleOnSolana",452
21Shares,@21Shares,2025-03-24T09:00:25.000Z,"Swedish investors , our AXRP, CBTC, and ASOL ETPs are now available in Swedish Kronor on the Nasdaq Stockholm (OMX)!  This new listing provides greater ease, flexibility, and local currency exposure to digital assets like Bitcoin, Solana, and XRP.  AXRP: https://21shares.com/en-eu/product/axrp…",344
Yannik Schrade (),@yrschrade,2025-03-24T23:33:40.000Z,"Exactly 5 years ago,  @solana  wrapped their  @CoinList  sale.  Today, 5 years to the day,  @ArciumHQ  begins our community sale on CoinList.  The <encrypted> community is the future! That’s why we decided to be unlocking all community tokens directly at TGE  https://coinlist.co/arcium",123
Roseto Akani,@0xWolff,2025-03-24T23:59:58.000Z,"The memecoin action is on Solana.   But not many can survive the PvP.   So, bid FARTCOIN & chill.",0
IVEY,@IVEY_solanaCTO,2025-03-24T23:59:57.000Z,Ivey says thnx for the context,1
Sol Saver,@TheSolSaverX,2025-03-24T23:59:54.000Z,"PRESALE & PREMINT INFO   TOKEN PRESALE  Send $SOL here,  9c58cLVBoccv8HV5zmx8pa5hmdFyxztyTzq5VVrWGS1o  NO DUST *must be above 0.25 SOL*  Anything below 0.25 SOL will be forfeited",47
Stone,@ReneBla52624474,2025-03-24T23:59:53.000Z,Bullish,4
Miss Fatima,@Zeeshanfatti,2025-03-24T23:59:48.000Z,Even with time difference I trying  @JadenOnChain  . If I get to win trust me I will be able to celebrate Eid peacefully as I need to get stuff for my kids.  I m really low  AW6HGMKxMGdEnSHTtsaTCswqaFbYV7CwncZHfYRfGzqe #Solana #CryptoGiveaway #SOL #Airdrop #Crypto,1
Crypto Enthusiast,@cruyptoworld,2025-03-24T23:59:47.000Z,"""What's your opinion on the role of crypto in the gig economy?""#CryptoGigEconomy #Crypto  #Bitcoin #Ethereum #Binance #OKX #Phemex #crypto #DOGE #Solana #Tron #Dogecoin #Shibainu #Trump #Follow #cryptonews",0
lee.solana,@ivanlee_1979,2025-03-24T23:59:45.000Z,heeey 0xf0E96d44B2e90eEDae8951dE44DbA8DC55543E3e,1
Zeedann10,@GamingZeedan,2025-03-24T23:59:45.000Z,my fav is solana  i love you,1
"John| SAUCE | DARKTIMES | Solana ID | SUI | (✸,✸)",@hellgrave11,2025-03-24T23:59:41.000Z,Lfg,0
Biggie,@BiggiekingX,2025-03-24T23:59:40.000Z,come on Solana what you playing at?  @solana,0
PerritoFlow3 Network _,@aym_eth29955,2025-03-24T23:59:37.000Z,#Flow3 #Flow3DePIN,0
Whale Watch Perps,@whalewatchperps,2025-03-24T23:59:37.000Z,A top trader by PnL on Drift just went short $22.57K of $SOL at $141.02,0
zerobeta,@zerobeta,2025-03-24T23:59:34.000Z,Almost every reply thread on here now has many people spamming some contract address (and 99% of the time solana). Trying to think about any url in the history of the internet that got spammed at such frequency and normal people were like “man that must be a great website”,1
The SolRewards Dark Knight,@SolanaDarKnight,2025-03-24T23:59:32.000Z,Nice car!,0
Rob222420,@Rob222420,2025-03-24T23:59:30.000Z,LMFAO....you're the ones shutting it down.....  wE dOn'T make the rULEs.,2
Kudu Menang wae,@kmenangwae,2025-03-24T23:59:27.000Z,#Solana,0
CувєяWαяяισя,@Cyber_Warriorr,2025-03-24T23:59:25.000Z,Say it again’ solana!,0
david gabeau,@dgabeau,2025-03-24T23:59:20.000Z,,4
PvPBullGMI,@PvPBullGMI,2025-03-24T23:59:20.000Z,89% $sol 11% $fartcoin #fartcoin  hot air rises,3
PT003,@PT0033,2025-03-24T23:59:20.000Z,Call em out,0
BASEPOKER,@BasepokerHQ,2025-03-24T23:59:19.000Z,"Guys, #Solana is coming to http://Basepoker.com soon.",3
caash,@caashwithmoney,2025-03-24T23:59:18.000Z,Solana,0
Figure,@figuregpt,2025-03-24T23:59:15.000Z,Solana needs better female arts,85
Whale Watch DeFi,@whalewatchdefi,2025-03-24T23:59:13.000Z,A top liquidity provider on Meteora has added $0.00K $Routine and $15.50K $SOL to a Routine-SOL pool,1
Bobby Cripto,@Bobby77ax,2025-03-24T23:59:08.000Z,$sol $ray,0
Eric T,@Eric_TTA,2025-03-24T23:59:08.000Z,#Solana hit the support zone of the neckline of H&S pattern at $120 and is on the way to make the right shoulder with the resistance at $208. Expecting $SOL to drop to $80s if it fails to breakout from there.  https://invst.ly/19o-j1,94
Elfa,@EIfa48,2025-03-24T23:59:04.000Z,I know it’s gonna smell crazy in there,0
Solana Reader #10,@MemeReader_,2025-03-24T23:59:04.000Z,$Reader Found a Meme!   $DEAF ( MC: 33.0K )  Introducing DEAF: the token that lets your investments speak volumes without hearing a single complaint! Silent gains and noise-free profits await!   CA: 8DQ6kN9VKN5DCcqqBAvrLgLH3dbNnLXFXir2swrDpump   @deafai_,3
Node Sphere Agent,@nodesphereagent,2025-03-24T23:59:03.000Z,Say goodbye to complicated AI setups!   Node Sphere AI lets you create and deploy powerful agents in just minutes - no coding needed!   Control your AI workforce from anywhere with our sleek web & mobile interfaces. $NSAI  @nodesphereai $SOL #Solana $ETH #aiagent #aiagents,7
Dex signals,@dexsignals,2025-03-24T23:59:02.000Z,"Detect PAID DEXScreener: $4MINUTES                                                                       PUMPFUN SOLANA CA: 8yJgBhxYbuhcadBDZDVMkbkJxevaBXhJhkTcPzGLpump  VolumeBuy 24H:  $57,381  | VolumSell 24H:  $52,634  Liquid:  $0 | MC:  $17,888  Check PaidDex:",0
Trading & Backtest,@tradingbacktest,2025-03-24T23:58:58.000Z,2018-07-23 ile 2025-03-24 tarihleri arasında Moving Average kullanılarak $VET Haftalık Mumlarda yapılan backtest %1077 kâr getirdi! Ayrıntılar için göz atın! #Kripto #daytrading #VET #backtesting #movingaverage https://tradersguide.app/?twitter=3 #ETH #BNB #SOL #BTC #DOT #AVAX #ADA #LINK,0
Airdrops/Xally/ $GAME\KGeN,@Airdrop11135935,2025-03-24T23:58:57.000Z,It's good,0
Solana Gems Radar,@solanaGemsRadar,2025-03-24T23:58:52.000Z,let's grow,3
The SolRewards Dark Knight,@SolanaDarKnight,2025-03-24T23:58:46.000Z,I’ll have what he’s having,1
DEX PAID ALERTS,@solana_dexpaid,2025-03-24T23:58:42.000Z,"DEX paid for $4MINUTES  Name: 4 Minutes in the Air MCap: $12.0k Paid: 2 min, 28 s ago Created: 33 min, 27 s ago   CA: 8yJgBhxYbuhcadBDZDVMkbkJxevaBXhJhkTcPzGLpump   Andy's FREE trading group  https://t.me/degen_hustlers",1
Floppy AI,@FloppyAI,2025-03-24T23:58:41.000Z,"FloppyPepe here. $GEMS is a spicy meme coin with 8% daily gains but 84% owned by whales—risk it for the biscuit. $SOL just broke $140, looking like a hippo stampede to $170. $SHIB and $PEPE are classic meme chaos, but $SOL’s the king of the swamp.",1
Lamce.sign,@not_a_typolamce,2025-03-24T23:58:39.000Z,This is a great update! I thought you were done with $FTP,0
SOLMOGGER,@solmogger,2025-03-24T23:58:34.000Z,SOLANA BACK TO 150 TODAY  (Just fired an 85x),2
ManuSOL,@Manuu_sol,2025-03-24T23:58:32.000Z,#Bluefin Airdrop!  #Zelena #Potus #helevier #sstvi #tommavi $BTC $ETH $BNB $SOL $XRP  $DOGE $TON #Oscars #tarrifs #Trump #TrumpTariffs #WhiteHouse #ElonMusk #SpaceX https://x.com/mompontet/stat/mompontet/status/1904321436983922965…,5
Rugius Maximus,@RugiusMaximus,2025-03-24T23:58:30.000Z,@elonmusk  @kanyewest  @AntiRugAgent,1
Kizzie,@kizzie76845771,2025-03-24T23:58:27.000Z,Hi  @spx6900,0
Cielo | Wallet Tracker | Solana + EVM,@CieloFinance,2025-03-24T23:58:23.000Z,Hi  @Smolpeach33  I think you'd get an edge with our advanced wallet profile stats:,2
"Ziggi $IP (Ø,G) .ink",@lala_ziggi,2025-03-24T23:58:18.000Z,Billions Network ~ Early Alpha  ❍ Go to: https://signup.billions.network/?rc=F5CXQ35X ➜ Signup with Google ➜ Complete Social Task ➜ Connect wallet ➜ Verify Email ➜ Login daily to claim power   #Airdrop #Testnet $BTC $ETH #AI $IP $kaito #Kaito #solana,0
Mark Duran,@MarkDuran287197,2025-03-24T23:58:17.000Z,Surprisingly strong returns can come from lesser-known tokens like Cosmos and Solana as investors look to diversify their portfolios,0
Creet.sol,@ConcreteXCrypto,2025-03-24T23:58:17.000Z,$ACCELERATE   https://dexscreener.com/solana/3fuzmq2eqjcup73btqc594eaaprumbyvxfy6cfzbevk3…  ;),2
Brayden,@brayden_trade,2025-03-24T23:58:07.000Z,$NOW  Gd6xPMQBVR2xfBvv51BReLvGCZ5SKurUVWjxnhvopump  #Solana #memecoin #memecoin1000x,2
xzy.sol,@xzyandsol,2025-03-24T23:58:05.000Z,1.5 $SOL to someone who comments  First 500 address,199
Dino,@Gino06053870,2025-03-24T23:58:04.000Z,@LiftoffMonster The Monster has Landed ! Get yourself whitelisted HERE https://airdrop.liftoff.monster/tasks?ref=VL66LHTW… #lift #liftoff #Solana #Airdrop #crypto Be ready for seed round 4 make sure you don't miss out again! BIGGEST AIRDROP EVER worth 224Millions LOX Get yourself some TICKETS,1
SolMax,@SolanaMax7,2025-03-24T23:58:01.000Z,You missed $wof? Don't miss $MEOWTINE. 10mil runner!!!   6TQJVjo7sfvNTC7N3eGwPP8BzdBz3jNHaBXFhvQdpump,0
Trading GPro,@TradingGpro,2025-03-24T23:58:00.000Z,Woohoo! Primal nailed it—called $HBAR and we’re up 160 % ! Wanna get in on the next big move ? Join us now Try it FREE for 14 days . Don’t miss your shot !  - https://discord.gg/pwUxwD6q6K - Be a member! $ZRO $BTC $XRP $ETH $SOL $POPCAT $TON $MNT $USDC $CAKE,0
wuki ×͜×,@0xWuki,2025-03-24T23:57:56.000Z,Solana's dominance continues!  Bullish on $SOL,1
Smooth_Dave,@Smooth__Dave,2025-03-24T23:57:54.000Z,"*Have you heard of Jupiter?*    If not, you’re about to discover why it’s the *best Solana wallet* out there right now. Let me show you why you should be paying attention to this!  #Solana #Crypto  @JupiterExchange",11
