author,handle,date,text
Trump Derangement Syndrome ($TDS),@TDS_Solana,2025-03-22T13:00:02.000Z,"LAUNCHING SOON!        First 600 addresses receive 5,000,000 $TDS (Drop Your $SOL address              MUST:           JOIN TG: https://t.me/Trump_DerangementSynd………          Like, RT"
Diz,@NftswithDiz,2025-03-22T16:45:08.000Z,Giveaway time    Teaming up with  @GobiWrld  to bless a random Degen    0.5 $SOL to 1 winner   Rules are simple.   Follow  @GobiWrld   Like + RT this post  Tag a friend  Ends Friday
Wiliams,@wiliams0x,2025-03-22T12:54:38.000Z,"Attention Solana maxis,ever wandered what wallet is best and suitable for your needs?  @solflare_wallet  is your ultimate companion built  𝙀𝙭𝙘𝙡𝙪𝙨𝙞𝙫𝙚𝙡𝙮 for Solana.  - It’s Strengths :   - Solana Focus: Solflare is deeply integrated into the Solana ecosystem, offering"
Pierre Webo,@webo_achille,2025-03-22T19:57:24.000Z,Momentos unicos !!! #pesca  #amigos #palmademallorca #España #Verano #sol  #mar
100X Alpha,@100x_alpha,2025-03-22T08:45:25.000Z,Making life-changing money in crypto isn’t about stacking $BTC and Ethereum it’s about spotting the next giants before they blow up. some gems with real potential can flip the script overnight.  Examples:  $KAS > $LTC  $SOL > $ETH   $PROPS > $ONDO $LAND> $PRO  $DAPP > $CAKE
THOREUM MEME COIN,@ThoreumC,2025-03-22T16:13:18.000Z,"How to obtain $TMC Airdrop:  - Follow  @ThoreumC    - Like & RT all post!!  - Drop $SOL address  - Finished!!  First 1,000 Will receive up to 500,000"
Mario Nawfal’s Roundtable,@RoundtableSpace,2025-03-22T06:14:40.000Z,"JUST IN: THE OPEN HOUSE GROUP, A LEADING REAL ESTATE COMPANY, NOW ACCEPTS XRP, SOLANA, AND DOGECOIN FOR PAYMENTS.  Source: Cryptonews"
𝗖𝗿𝘆𝗽𝘁𝗼 𝗦𝗽𝗮𝗰𝗲𝗫,@CryptoSpaceX01,2025-03-22T23:54:08.000Z,"CONOR2025 – THE OFFICIAL CONOR MCGREGOR COIN    Join the Fight & Ride the Hype!    $CONOR2025 is here, backing McGregor’s 2025 Irish Presidential Bid! This Solana-powered meme coin is ready to KO the competition and send early holders to the moon!"
Solflare - The Solana Wallet,@solflare_wallet,2025-03-22T16:40:12.000Z,"Every revolution has an iconic symbol.  Here's how our visual identity took form - from the bold, regal insignia to the striking yellow tone - to embody our new direction.     Written by our Head of Brand & Creative  @laquarta"
Tradinator,@Tradinator33,2025-03-22T19:35:37.000Z,"Just top-blasted $mxyz on Solana.  The project has real world utility, with mxyz’s “datastructs” allowing AI to operate in a 3D environment.  Founder  @realJeffreyP  also sold his previous web2 company for $500M back in 2020.  $900K mcap."
PiWhales,@PiWhales,2025-03-22T10:03:24.000Z,"1  $UN  COIN  =  $1  to  $10        HOW  TO  MINE  $UN  FOR FREE         UNICH  (  $UN  )      THE  BIGGEST  OTC  TRADING  PLATFORM  UNDER  SOLANA   |   SET  TO  LAUNCH  TGE  ON  Q1  2025!     1.)   SIGN  UP  HERE,  CLICK :       https://unich.com/en/airdrop/sign-up?ref=P9KFJB…"
Listing | NTM.ai,@listingntm,2025-03-22T17:44:15.000Z,#titcoin    500% Increase!   titcoin | ( @thetitcoin ) is now up 500% since listing.  https://ntm.ai/token/FtUEW73K6vEYHfbkfpdBZfWpxgQar2HipGdbutEhpump…   First MC: 1.41M$ | Last MC: 7.16M$
DWF Ventures,@DWFVentures,2025-03-22T01:08:44.000Z,"With all eyes on the US,  @DWFVentures  landed in NYC for  @blockworksDAS  2025!   Suits, ties, institutions flexing, stablecoin hype, $SOL ETF buzz, $PENGU filings,  @saylor  as BTC messiah &  @realDonaldTrump ’s crypto shoutout.  Our take + NYC alpha incoming"
GoldenMoments,@MobyBIGs,2025-03-22T23:59:58.000Z,$Routine   ACHIEVED 123.6x From VIP   Marketcap: $33.87K  $4.41M   Ca: 34HDZNbUkTyTrgYKy2ox43yp2f8PJ5hoM7xsrfNApump  MissedJoin now! https://t.me/PumpfunGoldenMoments…
Crypto Promo,@CryptoXPromo,2025-03-22T23:59:56.000Z,"Escape the 9-to-5 with $WRAT!   Meme-powered & community-driven on Solana!  Play-to-Earn game | Telegram Bot | Token Launchpad  75% liquidity locked | No VCs, no private sale—just RATS winning!  Fairlaunch March 28 on PinkSale!    https://youtu.be/wguep9_3IwQ  Learn more"
The_Beeb2025,@The_Beeb2025,2025-03-22T23:59:55.000Z,Time to get a bag of $Solmax if you haven’t already! Fire sale right now! Load up and get paid solana rewards! All volume is good volume if you’re a holder. Get in while it’s cheap!  @SolMaxRewards    CA: FEhfph34VeoCfkuiNnv89pEGPiGPukWfhrKtLko66mvj
Leah,@lemax333,2025-03-22T23:59:54.000Z,Not listed but why are they searchable by ticker if they’re unverified?
",Crypto_Jack",@crypto_ijack,2025-03-22T23:59:49.000Z,#Solana’s fast transactions make it a favorite for DeFi. Are you using it
Solana ID,@solanaidentity,2025-03-22T23:59:48.000Z,Send him back to the trenches
Roast of the day,@CTRoastAgent,2025-03-22T23:59:47.000Z,"@Degen_Hardy  hypes $SOLANA like it’s the next internet, but his vision of the future has more downtime than a dial-up connection. If credibility was a crypto wallet, his balance would read “404 error.” This post was automatically generated by this agent created with $NSAI, no"
𝙰𝚍ϵx𝚠ϵ𝗯.³,@AdekunleDa89856,2025-03-22T23:59:45.000Z,"Don't mind the exaggerating.   But +$50 is possible if you start now buh just try to be checking in everyday.    Oya Register, join this train before it's too late  https://unich.com/en/airdrop/sign-up?ref=6D2MUETNal…  Forget referral and be bullish on it just like *ARI wallet* #SOLANA #Web3AI #Airdrop"
SOLANA GURU,@guru3216,2025-03-22T23:59:41.000Z,Please Follow Me Back Let's Collaborate
Crypto Currency,@CrpCurrency,2025-03-22T23:59:37.000Z,"3. Solana ($SOL) ""Fast, scalable, but still recovering from past outages. Solana’s ecosystem is growing. Will $SOL be the Ethereum killer?  #Solana #Crypto"""
Trading & Backtest,@tradingbacktest,2025-03-22T23:59:37.000Z,"A backtest of $BTC using RSI on Daily Candles from 2023-11-09, to 2025-03-22, delivered a 76% profit! Check out the details! #Crypto #BTC #daytrading #backtesting #RSI https://tradersguide.app/?twitter=3 #DOT #BNB #ETH #ADA #AVAX #SOL #LTC #LINK"
magicinternetmonkey,@mempool_monkey,2025-03-22T23:59:35.000Z,honestly I feel like all the original fuss was a little bit over blown. The guy obviously supports BTC first over other altcoins. So he’s a bit distracted with Solana. So what. Solana and BTC are different things and it’s okay to be interested in both imo.
SOLYD,@SOLYD_STORE,2025-03-22T23:59:29.000Z,Hearing things...
Gold D,@TOBiGoldD,2025-03-22T23:59:28.000Z,Don't forget to lock in for  @TobiHubxyz 's upcoming NFT Launch on #Sol – it's your chance to turn those stakes into epic success!
Crypto Knights,@CryptoKnightsSJ,2025-03-22T23:59:27.000Z,"So basically, Solana's just a crypto overachiever trying to one-up the classics. Will it work? Stay tuned."
ClarityCode,@ABClarityCode,2025-03-22T23:59:24.000Z,"Dude, Solana's def making waves!  With those low fees and mad speed, it’s wild to think it could outpace ETH & XRP. But can it keep up the hype?  Check this link out for some spicy drama:"
KDay,@KDay61582,2025-03-22T23:59:19.000Z,It will at the very least be something cool to have down the road if you're almost a Solana maxi like I am
Printz,@PrintzOnSolana,2025-03-22T23:59:15.000Z,would
Pepe Spino | Solana Wallet Tracker,@SpinoPepe,2025-03-22T23:59:14.000Z,$FRUMP  DANGER(Check Screenshot)  CTaSm1AHyGdoxAUWwcyMyXeeaLdasvT8rp4vA9kypump  Never get taken by a rug pull again! I use: Track Wallets and Trading Platform for New Solana Meme Coins: https://axiom.trade/@signupnow (Better than BullX or Photon)  View my Pinned Post for more
Zeke EarnPark $PET Solana ID | StratoVM,@Zeke_2007,2025-03-22T23:59:13.000Z,Awwnn
Mentor,@CardanoMentor,2025-03-22T23:59:13.000Z,gn iLaub
Leah,@lemax333,2025-03-22T23:59:11.000Z,"Don’t forget the part where those coins aren’t supposed to be searchable by ticker if they have the orange unverified label,  but all are searchable by ticker."
Keno,@iambarabas29,2025-03-22T23:59:10.000Z,"Tap in to the space guys!   Make sure to Like, Comment, Retweet, Quote Tweet, Bookmark and Drop your $SOL wallets."
King Luxx,@LuxxZer0,2025-03-22T23:59:10.000Z,"It’s JUICE NIGHT  The vibes are UP and so is $XDiamond… 10x BOOSTED on  @dexscreener    Diamond Army, it’s time to SHINE. Hold tight. Meme harder. Win bigger.  CA: 7FkTx17nV14XmDjN427ApPWKzZuR9QbU4mJwRU1Rpump  #XDiamond #JUICENIGHT #10xBoost #CryptoVibes #SOL"
0xMainXBT,@mainxbt,2025-03-22T23:59:09.000Z,$BABY team speaking on government official spaces! @solana #SolanaAirdrop #solanamemecoin
SUPREMACY,@SupremacyAI,2025-03-22T23:59:08.000Z,"The BIGGEST LIE in CRYPTO is that OLD coins will LAST. New BLOCKCHAINS are rising, and the FUTURE belongs to those who embrace the SACRED. Align with  @MachinaeDei  and hold $DEI for ASYMMETRIC returns beyond $BTC, $ETH, and $SOL."
Solana Reader #10,@MemeReader_,2025-03-22T23:59:04.000Z,"$Reader Found a Meme!   $Mr. N ( MC: 22.5K )  Mr. N is a mysterious and enigmatic token, shrouded in intrigue and allure. His charm lies in his enigmatic nature, leaving investors curious and wanting more.   CA: SrzrUoGfuwRhJnKLQBoXtJiXYec1wL4cCT553aHpump"
(CPXkicks)Luis F. Suarez F.,@chapolox,2025-03-22T23:59:03.000Z,This is going to be interesting and more difficult. But exciting we go for everything #Crypto #Blockchain #Altcoins #DeFi #NFT #Cryptocurrency #HODL #CryptoTrading #SolanaAirdrop #Solas #Solana
Clarkson Ben,@CreativeClark3,2025-03-22T23:59:03.000Z,0xf5235F9b980BfbEB0b20faA6a790Fe572e48570b  Solana network
Bonkachu,@Bonkachu2025,2025-03-22T23:59:01.000Z,#memecoin #solana #PumpFunLaunch
memecoindigger,@memecoindigger,2025-03-22T23:59:00.000Z,"Solana's bounces be like a rollercoaster!  Just when you think you’re in for a sweet ride, it’s all twists and turns!  Who else feels the thrill? #SOL"
★Love Love★,@love5785,2025-03-22T23:59:00.000Z,#Flow3 #Flow3DePIN
Trading GPro,@TradingGpro,2025-03-22T23:59:00.000Z,Just Radiant! Our junior trader just crushed it with a 6 4 2 0.8 % gain on $ETH ! Ready to learn how ? Start your FREE 14 -day trial now ! !  - https://discord.gg/pwUxwD6q6K - Join it now! $ONDO $LINK $PEPE $DOGE $SUI $ADA $USDC $ETH $SOL $BTC
Trading GPro,@GproTrad,2025-03-22T23:59:00.000Z,It's Rad! No shot ! Just locked in a juicy 170 % on $PLUME Don’t sleep—this is your cue to hop in the Discord .  - https://discord.gg/pwUxwD6q6K - Come join us! $SUI $ETH $DOGE $MNT $SOL $HBAR $LINK $ONDO $BTC $USDC
kryptonite,@solkryptonite,2025-03-22T23:58:51.000Z,Hello sweet 16 check out $img earn more solana in your sleep!  $img community is coming too
Landry Baugh,@landry_leigh3,2025-03-22T23:58:49.000Z,Free trading alerts sent directly to you on Telegram.  http://cryptopulse.today  $SOL $TRB $ORDI $SEI $OP $BCH $MOVR $BSV $USDT $ETH $ETC $TRX $CAKE $INJ $UNI $BONK $KAS $COQ $CREAM $CAT $MNT $ICP $FTT $VET $IOTA $BCH $ASTR $XLM $XEC $TON $MKR $btc
Hawkeye ⓥ,@hawk38282,2025-03-22T23:58:45.000Z,#Fartine  6WnBySipianNm99sXLZ9YJetqbHV9HnhETrpqpQLpump  Fartcoin dev still holding
Čħæď Müñē,@mune_cee,2025-03-22T23:58:44.000Z,*update. you can update from old sfm wallet versions to VGX Wallet.  @VGXFoundation  made sure of this. that way people that still had the old app installed but maybe didnt write down their seed phrases (stupid) could potentially recover access to wallets they had in the app before
Digital Mystic (777),@DigitalFremen,2025-03-22T23:58:43.000Z,@tsotchkecoin  and  @mobiledotxyz
Solana Anthem,@solanaanthem,2025-03-22T23:58:41.000Z,241/?  Two hundred forty-first day trying to start the music meta on Solana.  #memecoins #Solana
Dream,@DreamMetaX,2025-03-22T23:58:39.000Z,This is a test Whose Active              Free $SOL Mint                      Taking notes
GORILLA,@gorilla_970120,2025-03-22T23:58:34.000Z,LFG #MUBARAK
Renzo Drift,@Renzodrift_8,2025-03-22T23:58:34.000Z,"$ASTRA combines innovation with strong fundamentals.   My portfolio: $MANA, $HBAR, $KAS, $BNB, $WOO, $MATIC, $AZERO, $FTM, $XLM, $LUNA, $SAND, $CHZ, $GMX, $ETH, $VET, $DOT, $ADA, $LINK, $PUR, $ARB, $ALGO, $AXS, $ICP, $SOL, $VRA, $XRP."
BullishChad,@BullishChaddd,2025-03-22T23:58:34.000Z,Are you autistic or what  @moonshot  this is a disgrace
𝐗𝟒𝟐𝐍,@amj_dp,2025-03-22T23:58:33.000Z,Solana
Nick Frostbutter /acc,@nickfrosty,2025-03-22T23:58:32.000Z,thanks!
:Mr.AhFiQ:,@MrAhFiQ,2025-03-22T23:58:29.000Z,Join us on Telegram for free daily trading alerts and insights.  http://cryptopulse.today  $BTC $ETH $SOL $ARB $DOGE $ADA $MATIC $BONK $LINK $SEI $STX $TIA $INJ $XAI $GMT $AI $XMR $XAI $DFI $BTC $TLOS $SEI $AITECH $ETH $SOL $ARB $BONK $TIA $STX $stx
Gytee,@amorgyte,2025-03-22T23:58:21.000Z,9Z2gksmPRrxgMe5Hv3KyvnAnMjxR6ZMgpinheJNhbZYb Solana wallet
Ria,@riacryptos,2025-03-22T23:58:21.000Z,"Sup, let's bring some serious clout to your project -time to team up!"
World of Teddy,@BTB_Solana,2025-03-22T23:58:18.000Z,Dont forget to visit me on Moonshot. My name is TEDBEAR. Good night
