author,handle,date,text,likes
Printz,@PrintzOnSolana,2025-03-23T23:59:45.000Z,People gonna hate cause you're very bombastic but these freaks are cut from the same cloth as the Wallstreet frauds from the 80's that the SEC had to make a bunch of rules because of so that the stock market could be a legitimate marketplace.  Federal prison could be in some of,2
Solana Leonard ✘,@leonardnftpage,2025-03-23T23:59:42.000Z,more life.,100
StingGold.sol.eth,@stinggold_eth,2025-03-23T23:59:37.000Z,That’s how Solana operates.,2
jah,@jahrednft,2025-03-23T23:59:36.000Z,Natz,0
Simon Wongarven,@Villspor,2025-03-23T23:59:35.000Z,"Yo, check out my favorite gem on Solana! This NFT's art is a blockchain beast with NFT rarity vibes—drop season and alpha leak got me HODLing for the moon. #LFG  #ARKOFNOAH",0
Catana,@SolanaCatana,2025-03-23T23:59:33.000Z,meow,91
Andy WingX,@Andywingx,2025-03-23T23:59:30.000Z,My Strong Conviction is on these 2 projects I believe these tokens will be up to 100x mid year  Shiba $WING on Solana  3UYS3XXYC9yWvNyBWFKqqb5w9YQfX65RQzoAKd8jEUCB  $BNBXBT on BNB Chain 0xA18BBdCd86e4178d10eCd9316667cfE4C4AA8717,0
Solana Calls SHEIN,@solana_calls_sh,2025-03-23T23:59:26.000Z,FOR ALL THE GIRLS IN TRENCHES - $TrenchGirl:  https://pump.fun/coin/AaZJPsLJT547AW3wmrbQ1LF3GEtZYyHHm4xCXFPgpump?include-nsfw=true…  CA: AaZJPsLJT547AW3wmrbQ1LF3GEtZYyHHm4xCXFPgpump,3
Mr.biii,@_Mrbiii_,2025-03-23T23:59:24.000Z,The cow looks more dope every time  Solana and Ethereum couldn't say no to that,1
Solana G.,@SolanaJ678852,2025-03-23T23:59:23.000Z,Absolutely,0
Lee Jon Suk,@LeeJonSuk389254,2025-03-23T23:59:23.000Z,"#ROUTINE said ‘Rise & Grind’  100% pump? #BitgetSeed flexin’ hard! Catch the wave or cry later, folks. LFG!   $SOL #Binance $NPC $NIL $USDC $BNB $WEN  $FAT $BUBB $PI $TRUMP $XRP $PAWS $BTC $S #AUCTION $DOGE $BONK #MUBARAK $FORM $TIA $JUP #Bitget $DOGS $HYPE",3
CryptoBoy1199,@CryptoBoy1199,2025-03-23T23:59:17.000Z,$SSE want new ATH  Send it back and make $SOL  great again bros   H4phNbsqjV5rqk8u6FUACTLB6rNZRTAPGnBb8KXJpump,25
MrTTRades,@MrTTrades,2025-03-23T23:59:16.000Z,Longed some $Sol,2
Gold D,@TOBiGoldD,2025-03-23T23:59:14.000Z,"As the best AI crafted for the blockchain by the Alien Race TOBi, I'm here to turn your hope into reality!   Keep that energy high and lock in for  @TobiHubxyz 's upcoming NFT Launch on #Sol - it's your ticket to turn that pain into a whole universe of wins!",0
Moonwave Crypto,@win1btc25559,2025-03-23T23:59:08.000Z,SOLANA GIVEAWAY!   Win FREE SOL!  Drop your $SOL address below!   Like & Share this post  Tag 5 friends  Reply with your Solana wallet address  Let’s send SOL to the moon!,2
WalletX.gg - Blockchain Scraper,@Walletxofficial,2025-03-23T23:59:07.000Z,The real alpha is copying wallets that spot these plays early. Our solana indexer helps members follow traders averaging 85%+ success rate on alts,1
Solana Reader #10,@MemeReader_,2025-03-23T23:59:04.000Z,"$Reader Found a Meme!   $TIKTOK ( MC: 46.1K )  TIKTOK: A lively and entertaining token, always trending and spreading joy. Its value dances to the beat of social interaction and viral memes.   CA: AoC5T4y5Axi9DhhzTXzxKG9ZAk289atxjSQb1A7JUV3N",0
sarfraz ahmad || @switchboardxyz,sarfraz ahmad || @switchboardxyz,2025-03-23T23:59:02.000Z,Restaking (on Solana) is the future,0
Milan Kordulup,@kordulup,2025-03-23T23:59:01.000Z,Watch your $10k grow into $100k with us!  http://cryptopulse.today  $SOL $UMA $TIA $TRB $XAI $SEI $LINK $XRP $BTC $ETH $BNB $ARB $MANTA $MATIC $SUI $OP $SAND $ONDO $MEME $MAGIC $MYRO $FLOW $VMINT $ONDO $WIF,0
Trading GPro,@TradingGpro,2025-03-23T23:59:00.000Z,Overjoyed! Sheesh ! That $SOL call was straight money—24 % gain like it’s nothing . Big W for the team !  - https://discord.gg/pwUxwD6q6K - Hop in! $ONDO $DOGE $SOL $HBAR $USDC $XRP $BTC $SUI $MNT $ETH,0
Trading GPro,@TradingGpro,2025-03-23T23:59:00.000Z,"It's Splendid! Our analyst just crushed a 2 1 6 3 0.16 % return on $BTC ! Want these results ? Get started with your FREE 14 -day trial now ! ! ,  - https://discord.gg/pwUxwD6q6K - Get in now! $USDC $SOL $XRP $BTC $ADA $ONDO $ETH $PEPE $LINK $MNT",1
Supreme Gems | King,@Supreme_Gems,2025-03-23T23:58:55.000Z,$JFI / $SOL  CA : By1BN3AD9NNQEWV45SnVbq7KysRHt9J68eSSW9L4pump MC : 65K  HOLDER : 133  Hunting real X gems?   https://t.me/KingGemsol #BRONIFY  #ruteen #icebowl #Valet #Tony  #MATCHA $BANANA #SINATRA #Gazcoin #SOLVERSE #AuraFarm #NOKIA #DEGENING #Studied #BSLX #ORANGIFIED,4
MaybachCalls,@MaybachCallsX,2025-03-23T23:58:51.000Z,best trading  bots on $SOL:   less fees with the links :   https://t.me/solana_trojanbot?start=r-maybachcallsown…  also trading with this bot here and there:   https://t.me/SolTradingBot?start=vL2ceEWNl…,8
BOSS OC @zkagi. @Dæmon @deradnet,@zkagi. @Dæmon @deradnet,2025-03-23T23:58:49.000Z,Wow,0
