author,handle,date,text
Ebube Nwosu,@kyrankelvin,2025-03-28T15:16:38.000Z,"@DabbaNetwork  # Hey guys , I found out about this project on solana Blockchain from India. It's kinda like a depin and it's has lot's of upcoming rewards on tge  You can join the Galxe task on their page and get roles on their discord to earn more points on their Galxe"
pabb (titty arc),@pabb_hghr,2025-03-28T15:16:37.000Z,how to outperform 99% of all solana traders: step 1 - buy #titcoin step2 - dont sell for 5 months.
mustafk,@mus_hy,2025-03-28T15:16:37.000Z,Not bad
凯旋门没有门,@KK20889898,2025-03-28T15:16:37.000Z,大家去了bsc受到了重创，大家挺不好的，急需一个sol大金，明白？
Buckazoids,@sheelipish,2025-03-28T15:16:34.000Z,"""The future belongs to the bold.""    CA: BQQzEvYT4knThhkSPBvSKBLg1LEczisWLhx5ydJipump  TG: https://t.me/Buckazoidss/4  ""#Buckazoids  is taking over!"" #Solana #Crypto #100xGem"
VBD,@voicucatalin6,2025-03-28T15:16:34.000Z,Poorer everyday!
Intuitive Healing,@IHCAntioch,2025-03-28T15:16:34.000Z,Join us for winning signals and greater profits!  http://cryptosignals500x.com  $BTC $ETH $SOL $SUI $ETC $ARB $OP $ENS $PEOPLE $XRP $INSP $SEI $MEME $XAI $TET $PEPE $BONK $NEON $FTT $BLUR $HNT $TIA $LTC $APT $IMX $XMR $TRX $MATIC $DOGE
RetroBits#1207,@_WayneRSA,2025-03-28T15:16:33.000Z,Gm Solana poet
sns.sol,@sns,2025-03-28T15:16:32.000Z,"ain’t a title, it’s a fact"
Madchillenfoo,@xxxtim,2025-03-28T15:16:32.000Z,Just daydreaming about  @playsolana .
Meme_Pony,@LeekPony,2025-03-28T15:16:32.000Z,Cabal Users Buy Count 3   Symbol： $WOD MarketCap：526.37K  CA： 8kgMCX7ezivU472eXaiGRu8xzNetpdxKDvNQBwKRipxi  XNameTimes：0 Created Coins: 50     Quick buy：https://gmgn.ai/sol/token/uKMbSI8s_8kgMCX7ezivU472eXaiGRu8xzNetpdxKDvNQBwKRipxi…
Andika wijaya,@Andikapuranam,2025-03-28T15:16:32.000Z,D9q2eP4NG54ax4rRh5CzBA2hA3tszcXeS3Q4b2RQYkP5
pabb (titty arc),@pabb_hghr,2025-03-28T15:16:30.000Z,how to outperform 99% of all solana traders:  step 1 - buy #titcoin step2 - dont sell for 5 months.
Meme mafia,@mememafiaaaa,2025-03-28T15:16:30.000Z,"$TRUMP Airdrop – Limited Time!    How to participate:  Drop your Solana ($SOL) wallet address below.  Follow  & Retweet  this post.   Reward: Every wallet receives 50,000,000 $TRUMP   Check your wallet in 12 hours!  #SolanaAirdrop #Solana #FreeCrypto"
Solana Allstars Venezuela,@allstarsVEN,2025-03-28T15:16:30.000Z,GM
Logan || Programmer✪,@michaeltalker_,2025-03-28T15:16:29.000Z,"WARNING!   #Fonnbit & #Civodex are scamming investors by blocking withdrawals!  Lost ETH, USDT, or other assets? DM me for recovery help!  #CryptoScam #Asdebit #CryptoRecovery #Scam #Girdex #Solana #Blofin #Dexozer #Macord #Helius #Xdoxo #Axellbit #RexoSwap #Bitex24 :-("
Solána Rowe enthusiast (43-24),@Tajisthegoat22,2025-03-28T15:16:28.000Z,It actually takes a lot of imagination (or schizophrenia) to pretend to be a artist and to pretend to be politically persecuted by people who got no idea who you are
HUNTER,@smseyam12,2025-03-28T15:16:27.000Z,Dump
TopBoy π Meshchain.Ai,@TopBoylala,2025-03-28T15:16:27.000Z,Ninja put some Sol in my wallet   8WjQQ21MzKu6BkNmLG7bQ68RETTkbjN8J7PSP3UHbx9P
"afriya ZEEK $QBX (✸,✸)",@afriya1025202,2025-03-28T15:16:26.000Z,jhmgfcghlguvuhyj
Iniobong Daniel,@IniobongDaniel,2025-03-28T15:16:25.000Z,"Feels like we’ve been waiting ages! Meanwhile,  @SparkChainAI  is heating things up by rewarding you with $SOL for unused internet bandwidth. No silence here, just rewards!"
Aeyo,@AyoCee00,2025-03-28T15:16:25.000Z,Solana is a confused token
Karnage,@KarnageZpain,2025-03-28T15:16:25.000Z,@DarKoohVLR  @Xamval_
Dontavius Jashira,@DontaviusJ84438,2025-03-28T15:16:24.000Z,"Had to give credit to   @ShallyWalk   the execution is flawless. Once I got the hang of his system, This strategy earned me $160K."
TradingMate,@tradingmate_ai,2025-03-28T15:16:20.000Z,The $BUCKAZOIDS hype is real! A whale just bought 571K tokens for 14.5 SOL. That's a $15K position. Looks like smart money is betting big on this one. CA: BQQzEvYT4knThhkSPBvSKBLg1LEczisWLhx5ydJipump
Solafast,@solafast,2025-03-28T15:16:17.000Z,What’s your crypto price prediction for EOY 2025?    BTC: ___  SOL: ___  ETH: ___ Drop your numbers & let’s see who’s right!   #Crypto #Bitcoin #Solana #Web3 #Priceprediction
PARDtoken,@_PARDtoken_,2025-03-28T15:16:16.000Z,Stay with us #PARD #meme #memecoin #altcoin #solana #solanamemecoin #rich #launch #market #airdrop #crypto #token
BusinessDemon,@Liquidations64,2025-03-28T15:16:15.000Z,Make solana great again !
BLAZEY,@blazeycrypto,2025-03-28T15:16:14.000Z,woke up broke but still bullish
