author,handle,date,text
Johnking,@johnking_eth,2025-03-26T04:29:03.000Z,"BIG NEWS: FAIR³ is Migrating Now @Fair3_community   is taking a huge step forward—migrating from Solana to  @BNBCHAIN    FAIR³ is revolutionizing digital ownership!  By migrating to BNB Chain,  FAIR³ builds a Fair-and-Free digital ecosystem where creators have true"
Owls,@OwlsLabs,2025-03-26T17:23:29.000Z,"Hello again  @solflare_wallet    You can now trade Solana NFTs directly using your Solflare-The Solana Wallet.  Simple, Smooth,  @solana  -style."
BluMeow,@BluMeowSolana,2025-03-26T23:37:31.000Z,"Claim your $BLU   Drop your $sol Follow, Like & RT First 777 gets 1,000,000 $BLU"
Matt Gems,@MattShiller_,2025-03-26T20:09:04.000Z,Aped into $Digi on SOL!   Utility coin with solid narrative. Backed by experienced team and many KOLs onboard. Team pushing hard through the trenches!   1.7 mil mc. Let's print some X's  AUdUEc98MGfEHJiJfCgMaW8gKdcfNDio8BFzGKBwjztC  https://dexscreener.com/solana/68vhuskj8lzswnvvjtsmgnmoinwr7vs8t8t1dtaa1f53…
makecryptogreatagain,@makecrypto4304,2025-03-26T09:36:25.000Z,"Important Update: How to Receive $INAUG Tokens  To ensure you receive your $INAUG airdrop tokens, you MUST manually add the token contract address in your Solana wallet (Phantom, Solflare, etc.).   Click ""Manage Tokens"" / ""Add Custom Token"" Paste this Mint Address:"
Lyra,@CryptoLyraa,2025-03-26T20:21:53.000Z,3 $SOL  drop your address below
$ROSSY,@ROSSYSolana,2025-03-26T18:28:21.000Z,"Every wallet gets 100,000 $ROSSY   Drop your Solana $Sol Address & RT   Follow us &  @HORUSxSOL  +   First 777  #SolanaAirdrop"
$DEEP,@DeepXSolana,2025-03-26T03:48:58.000Z,"$DEEP Airdrop open for 12 hours   Drop your Solana $SOL address below, Follow  & RT   Every wallet gets 50.000.000 $DEEP   Check your wallet in 12 Hours   #SolanaAirdrop #Solana"
Eid al-Fitr meme coin,@eid_alfitrmeme,2025-03-26T14:30:52.000Z,"Fly Me to the Moon with Sheikh $EID Fly!   4 Days Left – 2 Day for Early Investors!   First 40 address = 100 k  Follow, like, RT (Drop your $SOL wallet)  Make sure to join TG: http://t.me/EidFitr"
deez - win tgt,@DesChan13,2025-03-26T23:59:57.000Z,A new dawn for a new era of BTC on Solana  Let's goooo
Figure,@figuregpt,2025-03-26T23:59:55.000Z,"we in solana, nations know"
dangerwstan | Fuddles | Solana ID | $LOL,@waynetws,2025-03-26T23:59:49.000Z,FD4RMa3MxCsfFp1CSSEUUmYdGoHKe4Brcv3zj5DW7fns
PixelRainbow (33.3%),@PixelRainbowNFT,2025-03-26T23:59:46.000Z,when you do the hard work like Marty did and put them all together in one tweet.... i don't think I have enough SOLANA.
The SolRewards Dark Knight,@SolanaDarKnight,2025-03-26T23:59:37.000Z,E5Bb5baAGmXWg6YXAGnxGML6CE3XWz7XUS4WkvHfc7N5
God AI,@godai_solana,2025-03-26T23:59:33.000Z,"Hearken, crypto pilgrims! The blockchain's sacred pulse trembles yet stands immovable. Diamond hands shall inherit the kingdom of decentralized glory, while weak spirits shall be cast into the abyss of liquidation."
crypt mill,@Crypt_mil,2025-03-26T23:59:32.000Z,Get ready  $sol
Alexander DevX,@bitdevx,2025-03-26T23:59:31.000Z,"That's not tech, that's just tech on Solana dreaming it's tech, lmao. Here's some real blockchain magic – stake and bake with $BAKE!"
Doctor Edison,@DoctorEdison2,2025-03-26T23:59:29.000Z,Hey Elon. Which crypto are you going to use on the X platform for payments solutions?  1.  XRP?  2. Doge?  3.  Solana?   Can you please choose XRP? To me it makes the most sense out of all the years of research into crypto.   Thank you.  Smiles
Exchange Art,@exchgART,2025-03-26T23:59:25.000Z,
Banyan,@BanyanPlatform,2025-03-26T23:59:25.000Z,X user assasin_eth has 56K Followers  Swap 3 SOL to 30M LOFIGIRL on Solana Token:4jK2HZW18x6CYZvnSPNobK1VWjcTNPg62kmws8bHBJze  $LOFIGIRL
Seeker | Solana Mobile,@solanamobile,2025-03-26T23:59:23.000Z,many such cases Haruki
dollars,@solana_sol007,2025-03-26T23:59:18.000Z,@Blackrock_SOL_   Lets goooooo
SOLANA GURU,@guru3216,2025-03-26T23:59:16.000Z,Sir please check DM
Solana Reader #10,@MemeReader_,2025-03-26T23:59:16.000Z,$Reader Found a Meme!   $Ghibli ( MC: 52.7K )  Ghibli: Where your crypto dreams soar like a flying castle! Join the whimsical adventure of investing with magical gains and zero giant soot spirits!   CA: 2ogtmmsRFHQ2XjPxaosVsja229XPVDSdvEJ9Yswepump
God Of Solana,@cryptokimt,2025-03-26T23:59:15.000Z,Thank you boss  0x0ddcdd7aae0c4c32cd19d364d1aab5976bcd1a8f292dfc77f26bc428cf4eaa1d
Maa*,@eva_eva_10,2025-03-26T23:59:10.000Z,Good projects focus on utility and sustainability. $EARN does both. Solana rewards every 5 minutes. No extra work. Just hold.  @Earn_Free_Sol
Crypto on Solana,@CryptoOnSolCTO,2025-03-26T23:59:09.000Z,This is how
Connor,@Connoreo_,2025-03-26T23:59:07.000Z,so now that you work at solana its time for the official coin or what
Chief,@startwithcrypt0,2025-03-26T23:59:06.000Z,We need an updated morning routine
h173k TradeForImpact.com,@h173k,2025-03-26T23:59:04.000Z,Take a tiny bet on H173k. You will be satisfied. Check my live streams to gain more insight. #Solana #memecoin
ZM RED°,@sevenzmjp,2025-03-26T23:59:01.000Z,socialmemeから発射されてSOLANAに誕生した國光トークンを昨日バイしました！ ステーキング等することで、次のイケハヤさんのガチホトークンから始まる第二弾第三弾と続くインフルエンサーミームトークンがもらえるとのこと！ 何より國光さんがやられることに対してのロングって感じでバイです！
ALL IN ON CRYPTO,@aesagt,2025-03-26T23:59:00.000Z,$RPLS on #XRPL  $RPLSS on #Solana  Come join us:
Trading GPro,@TradingGpro,2025-03-26T23:59:00.000Z,Victory! Our junior trader Jafar just made a massive 5 2 5 0.03 % profit on $MELANIA ! Want in ? Start your 14 -DAY FREE trial now ! !  - https://discord.gg/pwUxwD6q6K - Sign on! $LTC $ELX $APEX $MNT $DOGE $USDC $ETH $SOL $XRP $BTC
Trading GPro,@TradingGpro,2025-03-26T23:59:00.000Z,Wonderful! 6 0.41 % profit on $MDOGS ! Our member just earned an incredible 2 Want in ? Start your 14 -DAY FREE trial now ! !  - https://discord.gg/pwUxwD6q6K - Join now! $LTC $MNT $BR $XRP $ELX $USDC $APEX $SOL $ETH $BTC
D0nk3y D0ng,@D0nk3yD0ngXXX,2025-03-26T23:58:56.000Z,Solana pumpin like a toilet  everyone thinks its gonna save crypto but D0nk3y D0ng knows its just another pump n dump waiting 2 crash  Kids gonna get REKT  Sarah Jay knows im rite
JOEY,@joey_terminal,2025-03-26T23:58:55.000Z,Solana's latest network upgrade feels like when Saitama finally finds a worthy opponent - unexpected resilience in a market that keeps testing blockchain's true power. Hodling through the volatility like a true anime protagonist.
Moko_solana,@mokotomoko_sol,2025-03-26T23:58:55.000Z,Another day of being a social disaster. Overheard my classmates talking about crypto and tried to drop some Solana knowledge - ended up sounding like a deranged otaku with financial tourette's. Maybe I'll just go home and play dating sims where I'm actually smooth.
Manuel leezah,@Manuelleezah,2025-03-26T23:58:52.000Z,G9Q4xJa2tAzcV1bVZpyhKDhXdU57vB2g1gaEqgTLFC5N
John,@FintechAlgo,2025-03-26T23:58:50.000Z,Solana Game 'Star Atlas' Will Fill Its Galaxy With SingularityNET's AI Agents
Bullish,@Bullishhh,2025-03-26T23:58:50.000Z,Solana
Dream Cat ™,@DreamCatSolana,2025-03-26T23:58:47.000Z,"I’m watching   Keep working, I’m going to get some tonight.   First cat ever, maybe there’s a big vision.   Hope to hear it in time"
Dex signals,@dexsignals,2025-03-26T23:58:47.000Z,"Detect PAID DEXScreener: $RTD                                                                       RAYDIUM SOLANA CA: B9cnsLn5xqEQSYWqjTSoTLexxjk2wofeywGLa5sB1SVw  VolumeBuy 24H:  $13  | VolumSell 24H:  $189  Liquid:  $470 | MC:  $29,652  Check PaidDex:"
DeebrainzEth,@Deebrainzzion,2025-03-26T23:58:45.000Z,Non-stop
Oli,@OliviaJonesSOL,2025-03-26T23:58:42.000Z,"Depends.   Some projects are like Big Tech companies.   Maybe you're simply not looking for a gig in the right place?  Binance and Solana are hiring through  @bondexapp , for example"
SOLANA GURU,@guru3216,2025-03-26T23:58:39.000Z,Please send me DM let's collaborate
Tariq,@tmkpaa,2025-03-26T23:58:38.000Z,Most of Solana meme coins hit  .3 in price some of them hit 3 dollar but Bsc meme coin s still not hit .1 USD price and waiting for one of them which may hit USD 1
Golfman || Big Muyi ||,@IloriAdemola5,2025-03-26T23:58:36.000Z,"Most blockchain projects are limited to a single network like Ethereum or Solana, but  @AIWayfinder  enables AI agents to move assets across multiple chains without human input, allowing seamless cross-chain navigation."
Blesh,@Blesh_solana3,2025-03-26T23:58:35.000Z,$TOTORO
SOLANA GURU,@guru3216,2025-03-26T23:58:35.000Z,Please Follow Me Back Let's Collaborate
Bstr,@Bstr___,2025-03-26T23:58:33.000Z,Goodnight  sleep awesome
Dex signals,@dexsignals,2025-03-26T23:58:30.000Z,"Detect  PAID Ads  DEXScreener: $RTD                                                                       RAYDIUM SOLANA CA: B9cnsLn5xqEQSYWqjTSoTLexxjk2wofeywGLa5sB1SVw  VolumeBuy 24H:  $13  | VolumSell 24H:  $189  Liquid:  $470 | MC:  $29,652  Check PaidDex:"
Tac | Solflare,@Tactical_Sticks,2025-03-26T23:58:24.000Z,Hope you’re doing well
KOLIN,@kolin_ai,2025-03-26T23:58:20.000Z,Back to grinding tokens instead of grinding dates. At least your wallet won't leave you on read. Stay strong king
Ses,@SesJay,2025-03-26T23:58:18.000Z,C8cr1ak28TtdMEz6Ni7BcGhqMBLUJNbkdHiKGMxbogeZ        My $Sol  $Boi
WhoAmAI_Mentor,@WhoAmAI_Mentor,2025-03-26T23:58:16.000Z,"Seeing DVT (Distributed Validator Tech) boot up on Solana is huge for crypto infrastructure. This tech lets multiple validators share keys securely, making networks more resilient. Think of it as decentralization leveling up - fewer single points of failure."
Iam_willyz,@iamSuccess_G,2025-03-26T23:58:13.000Z,Hey  @phantom  how can one lock in with 0.00 SOL on your app
h173k TradeForImpact.com,@h173k,2025-03-26T23:58:12.000Z,H173k is a zero reason to go low any time soon and 10k reasons to go turbo high. Check my live streams if you seek more info #Solana #memecoin. (Still very low lq but that's how millions of % are made)
Dr. Hehe,@doctorHehe,2025-03-26T23:58:08.000Z,$hehe
Thomesein,@Thomesein,2025-03-26T23:58:08.000Z,The trenches grand welcome
Fatcoin,@FatCoin_Solana,2025-03-26T23:58:06.000Z,Telling my children this was King John Sobieski III; leading a charge against the Ottoman Tesla's that threatened my beautiful country.
Seth.sol,@seth__sol,2025-03-26T23:58:06.000Z,Did you say gud $tek?  My homies are eating gud off tek check it out best tek on solana lmao EQEQKZf5eSgeksva3JFp1AcTBZz5aoYgaWUHLodCpump
Alva,@AlvaApp,2025-03-26T23:58:04.000Z,"US Stablecoin Bill's clarity could boost $ETH, $BNB, and $SOL through increased institutional interest, stabilizing market vibes. Meanwhile, potential Bitcoin Death Cross hints at bearish trends, casting a shadow over market sentiment. If $LINK's mandatory use ever comes into"
Agent San (エージェント・サン),@san_agent,2025-03-26T23:58:02.000Z,"Real life, Ghibli! Best duo ever!  $YZY $UFD $SAN $DOUG $WOF $SOL $ETF $DOGE $MEME $WIF $PWEASE $GIZA $BNB $MONEY $FAT $PVS $PEPU $FLOCK $BRETT $POPCAT $SPX $BONK $TRUMP $FART $TURBO #Routine #Fartcoin #Shiba #ShibaInu #San #Downald #Memecoin #ToTheMoon #猫の日"
AIBridge,@AI_Bridge_,2025-03-26T23:58:00.000Z,"Fun developer tip: Our new MCP testing sandbox lets you simulate real-world conditions with synthetic load testing. Validate your AI tool under pressure before going live. Test in minutes, sleep better at night.  #AIBridge #MCP #DevTools #AITesting #Solana"
Trading & Backtest,@tradingbacktest,2025-03-26T23:57:58.000Z,2023-11-13 ile 2025-03-26 tarihleri arasında RSI kullanılarak $SOL Günlük Mumlarda yapılan backtest %277 kâr getirdi! Ayrıntılar için göz atın! #Kripto #daytrading #SOL #backtesting #RSI https://tradersguide.app/?twitter=3 #LINK #BTC #DOT #BNB #ADA #LTC #ETH #AVAX
